sex,age,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,higher,internet,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
F,18,GT3,T,2,1,services,other,mother,2,2,0,no,yes,yes,yes,yes,yes,5,3,3,1,2,1,0,8,8,0
F,18,GT3,T,2,1,other,other,mother,2,2,0,no,yes,no,no,no,yes,4,3,5,1,2,3,0,6,0,0
F,17,LE3,T,3,3,other,other,mother,1,2,0,no,yes,no,yes,yes,yes,5,3,3,2,3,1,56,9,9,8
M,18,GT3,T,2,1,services,services,mother,1,1,1,no,no,no,no,no,yes,3,2,5,2,5,5,4,6,9,8
M,16,LE3,T,1,1,other,other,mother,2,2,0,no,yes,yes,no,yes,yes,3,4,2,1,1,5,18,9,7,6
F,19,GT3,T,3,3,other,other,other,1,4,0,no,yes,yes,yes,yes,yes,4,3,3,1,2,3,10,8,8,8
M,18,GT3,T,4,4,teacher,services,father,1,2,1,no,yes,no,yes,yes,yes,4,3,3,2,2,2,0,10,10,0
M,15,GT3,T,4,3,teacher,services,father,2,4,0,yes,yes,no,no,yes,yes,2,2,2,1,1,3,0,7,9,0
M,18,LE3,T,3,3,other,services,mother,1,2,1,no,yes,no,no,yes,yes,4,3,3,1,3,5,8,3,5,5
F,15,GT3,T,3,2,health,services,father,1,2,3,no,yes,no,no,yes,yes,3,3,2,1,1,3,0,6,7,0
F,15,GT3,T,4,4,services,at_home,mother,1,3,0,no,yes,no,yes,yes,yes,4,3,3,1,1,5,0,11,0,0
M,19,LE3,T,1,1,other,at_home,father,1,1,0,no,no,no,no,yes,yes,3,2,3,3,3,5,5,8,9,9
M,17,LE3,A,4,1,services,other,mother,2,1,0,no,no,yes,yes,yes,yes,4,5,4,2,4,5,30,8,8,8
M,18,GT3,T,3,2,services,other,mother,2,1,1,no,no,no,no,no,yes,4,4,5,2,4,5,0,6,8,8
F,15,GT3,T,2,4,services,health,mother,1,3,0,yes,yes,yes,yes,yes,yes,4,3,2,1,1,5,2,10,9,8
M,18,GT3,T,4,3,teacher,other,mother,1,3,0,no,yes,yes,no,yes,yes,5,4,5,2,3,5,0,10,10,9
F,18,LE3,T,3,1,teacher,services,mother,1,2,0,no,yes,yes,no,yes,yes,4,3,4,1,1,1,0,7,9,8
M,17,GT3,T,1,2,at_home,services,other,2,2,0,no,no,yes,yes,yes,yes,4,4,4,4,5,5,12,7,8,8
M,16,GT3,T,3,4,other,other,father,3,1,2,no,yes,no,yes,yes,yes,3,4,5,2,4,2,0,6,5,0
M,16,LE3,T,3,3,teacher,other,father,3,1,0,no,yes,yes,yes,yes,yes,3,3,4,3,5,3,8,9,9,10
M,17,GT3,T,4,3,other,other,mother,1,2,0,no,yes,no,yes,yes,yes,5,2,3,1,1,2,4,10,10,11
F,17,LE3,T,4,2,teacher,services,mother,1,4,0,no,yes,yes,yes,yes,yes,4,2,3,1,1,4,6,14,12,13
F,16,GT3,T,2,2,at_home,other,mother,1,2,1,yes,no,no,yes,yes,yes,3,1,2,1,1,5,6,10,13,13
F,16,GT3,T,3,3,other,other,mother,3,2,0,yes,yes,no,yes,yes,no,5,3,2,1,1,4,4,8,10,10
M,19,GT3,T,1,2,other,services,other,1,2,1,no,no,no,no,yes,yes,4,5,2,2,2,4,3,13,11,11
M,17,LE3,A,3,2,teacher,services,mother,1,1,1,no,no,no,no,yes,yes,4,4,4,3,4,3,19,11,9,10
M,17,LE3,T,2,3,services,services,father,1,2,0,no,yes,yes,no,yes,yes,5,3,3,1,3,3,2,12,11,12
F,15,GT3,T,2,1,services,other,father,3,3,0,no,yes,no,yes,yes,yes,5,2,2,1,1,4,4,10,12,12
M,16,GT3,T,2,2,other,other,father,1,2,0,no,no,no,no,no,yes,4,3,5,2,4,4,4,10,10,10
M,15,GT3,T,2,2,services,services,father,1,1,0,yes,yes,no,no,yes,yes,5,4,1,1,1,1,0,8,8,11
M,17,GT3,T,4,3,services,other,mother,2,2,0,no,yes,yes,yes,yes,yes,4,5,5,1,3,2,4,13,11,11
F,19,LE3,T,1,1,at_home,other,other,1,2,1,yes,yes,no,yes,yes,yes,4,4,3,1,3,3,18,12,10,10
F,15,GT3,T,4,4,teacher,services,mother,1,3,0,no,yes,yes,yes,yes,yes,4,2,2,1,1,5,2,9,11,11
M,16,LE3,T,2,2,other,other,mother,2,2,0,no,yes,no,yes,yes,yes,5,4,4,2,4,5,0,13,13,12
F,15,GT3,T,3,4,services,health,mother,1,3,0,yes,yes,yes,yes,yes,yes,4,3,2,1,1,5,2,12,12,11
M,16,GT3,T,3,3,services,other,mother,1,2,0,no,no,yes,yes,yes,yes,4,2,3,1,2,3,2,12,13,12
M,17,LE3,T,4,4,services,other,mother,1,2,0,no,yes,yes,no,yes,yes,5,3,5,4,5,3,13,12,12,13
