sex,age,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,higher,internet,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
M,20,LE3,A,2,2,services,services,other,1,2,2,no,yes,yes,no,yes,no,5,5,4,4,5,4,11,9,9,9
F,16,LE3,T,2,2,other,at_home,father,2,2,1,yes,no,no,yes,yes,yes,4,3,3,2,2,5,14,10,10,9
M,18,GT3,T,2,1,other,other,mother,2,1,0,no,no,no,yes,yes,yes,4,4,3,1,3,5,5,7,6,7
M,17,GT3,T,4,4,teacher,teacher,mother,1,2,0,yes,yes,no,yes,yes,yes,4,5,5,1,3,2,14,11,9,9
M,17,LE3,T,2,1,at_home,other,mother,2,1,2,no,no,no,yes,no,yes,3,3,2,2,2,5,0,7,6,0
F,17,GT3,T,1,1,at_home,other,father,1,2,0,no,yes,no,no,yes,yes,5,3,3,1,1,3,4,5,5,6
F,16,LE3,T,3,1,other,other,father,1,2,0,yes,yes,no,no,yes,no,3,3,3,2,3,2,4,7,6,6
F,17,GT3,T,2,1,at_home,services,mother,2,2,0,no,yes,no,yes,yes,yes,4,2,5,1,2,5,2,6,6,6
F,19,GT3,T,2,3,services,other,mother,1,3,1,no,no,no,yes,yes,yes,5,4,2,1,2,5,0,7,5,0
M,19,GT3,T,3,2,services,at_home,mother,1,1,3,no,yes,no,no,no,yes,4,5,4,1,1,4,0,5,0,0
F,18,GT3,T,4,4,teacher,at_home,mother,3,1,0,no,yes,yes,yes,yes,yes,4,4,3,2,2,5,7,6,5,6
F,15,LE3,A,4,3,other,other,mother,1,2,0,yes,yes,yes,yes,yes,yes,5,2,2,1,1,5,8,8,8,6
F,16,GT3,T,1,3,at_home,services,mother,1,2,3,no,no,no,yes,yes,yes,4,3,5,1,1,3,0,8,7,0
F,17,GT3,T,3,2,other,other,mother,1,2,0,no,yes,yes,no,yes,yes,4,3,2,2,3,2,0,7,8,0
F,18,GT3,T,2,2,at_home,services,mother,1,3,0,no,yes,yes,yes,yes,yes,4,3,3,1,1,3,0,9,10,0
F,15,GT3,T,1,1,other,other,mother,1,2,2,yes,yes,no,no,yes,yes,3,3,4,2,4,5,2,8,6,5
M,19,GT3,T,1,1,other,services,mother,2,1,1,no,no,no,no,yes,no,4,3,2,1,3,5,0,6,5,0
M,15,GT3,T,2,3,at_home,services,mother,1,2,0,yes,no,yes,yes,yes,no,4,4,4,1,1,1,2,11,8,8
M,17,GT3,T,3,3,other,other,father,1,2,0,no,no,no,yes,yes,yes,4,3,4,1,4,4,4,6,5,6
M,16,LE3,T,4,3,teacher,other,mother,1,1,0,no,no,no,yes,yes,yes,5,4,5,1,1,3,0,6,0,0
F,17,GT3,T,2,1,at_home,services,mother,3,2,0,no,no,no,yes,yes,no,2,1,1,1,1,3,2,13,11,11
F,17,LE3,T,4,4,services,other,mother,1,1,0,no,yes,yes,no,yes,no,5,2,1,1,2,3,12,8,10,10
M,17,GT3,T,2,1,other,other,mother,2,1,3,yes,yes,no,yes,no,yes,4,5,1,1,1,3,2,8,8,10
F,17,GT3,T,1,2,other,services,father,2,2,0,no,no,no,no,yes,no,3,2,2,1,2,3,0,12,11,12
F,16,GT3,T,3,3,other,other,father,1,2,0,no,yes,yes,no,yes,no,4,3,2,1,2,5,4,6,10,10
F,16,GT3,T,3,2,other,other,mother,1,2,0,no,yes,yes,no,yes,yes,1,2,2,1,2,1,14,12,13,12
F,17,GT3,A,2,1,other,other,mother,2,3,0,no,no,no,yes,yes,yes,3,2,3,1,2,3,10,12,10,12
F,16,LE3,T,4,4,teacher,teacher,mother,1,2,0,no,yes,yes,no,yes,yes,4,5,2,1,2,3,0,9,9,10
M,15,LE3,T,4,4,teacher,other,other,1,1,0,no,yes,no,no,yes,yes,5,4,3,2,4,5,8,12,12,12
M,17,GT3,T,3,1,services,other,mother,1,2,0,no,no,yes,yes,yes,yes,5,4,4,3,4,5,2,9,9,10
M,15,GT3,A,4,4,other,services,mother,1,4,0,no,yes,no,yes,yes,yes,1,3,3,5,5,3,4,13,13,12
F,18,LE3,A,4,4,health,other,mother,1,2,0,no,yes,no,no,yes,yes,4,2,4,1,1,4,14,12,10,11
F,17,GT3,T,4,4,other,teacher,mother,1,1,0,yes,yes,no,no,yes,no,4,2,1,1,1,4,0,11,11,12
F,18,GT3,T,2,3,at_home,other,mother,1,3,0,no,yes,no,no,yes,yes,4,3,3,1,2,3,4,11,10,10
F,18,GT3,T,1,1,other,other,mother,2,2,0,yes,no,no,yes,yes,yes,5,4,4,1,1,4,4,8,9,10
F,16,GT3,T,4,2,teacher,services,mother,2,2,0,no,yes,yes,yes,yes,yes,5,3,3,1,1,1,0,11,10,10
M,16,GT3,T,4,4,health,other,mother,1,1,0,no,yes,no,yes,yes,yes,3,4,4,1,4,5,18,14,11,13
M,15,GT3,T,4,0,teacher,other,mother,2,4,0,no,no,no,yes,yes,yes,3,4,3,1,1,1,8,11,11,10
M,17,LE3,T,4,4,other,teacher,father,2,1,0,no,no,yes,no,yes,yes,4,1,1,2,2,5,0,11,11,10
M,17,GT3,T,1,2,at_home,other,mother,1,2,0,no,no,no,no,yes,no,3,1,3,1,5,3,4,8,9,10
M,18,LE3,T,1,1,at_home,other,mother,2,2,1,no,no,no,yes,no,no,4,4,3,2,3,5,2,13,12,12
M,18,LE3,T,1,2,at_home,services,father,3,1,0,no,yes,yes,yes,no,yes,4,3,3,2,3,3,3,14,12,12
M,15,LE3,A,2,1,services,other,mother,4,1,3,no,no,no,no,yes,yes,4,5,5,2,5,5,0,8,9,10
F,19,LE3,T,3,2,services,other,other,2,2,1,no,yes,yes,no,yes,yes,4,2,2,1,2,1,22,13,10,11
F,15,GT3,T,1,2,at_home,other,mother,1,2,0,no,yes,yes,no,yes,yes,4,3,2,1,1,5,2,10,11,11
F,18,GT3,T,3,2,other,services,mother,1,3,0,no,no,no,no,yes,yes,5,4,3,2,3,1,7,13,13,14
M,15,GT3,T,4,4,teacher,health,mother,1,2,0,no,yes,no,yes,yes,no,3,2,2,1,1,5,4,14,15,15
F,16,GT3,T,4,4,health,health,mother,1,2,0,no,yes,yes,no,yes,yes,4,4,2,1,1,3,0,14,14,14
M,15,GT3,T,4,2,teacher,other,mother,1,2,0,no,yes,yes,no,yes,no,4,3,3,2,2,5,2,15,15,14
M,16,GT3,T,3,1,other,other,father,2,4,0,no,yes,yes,no,yes,yes,4,3,2,1,1,5,0,13,15,15
F,15,GT3,T,4,2,health,services,mother,1,3,0,no,yes,yes,yes,yes,yes,3,2,2,1,1,5,2,15,14,15
M,15,GT3,T,4,4,health,health,father,1,1,0,no,yes,yes,no,yes,yes,5,4,2,1,1,5,0,12,15,15
M,15,GT3,T,2,2,services,services,father,1,4,0,no,yes,yes,yes,yes,yes,5,5,4,1,2,5,6,16,14,15
M,15,LE3,T,2,2,services,services,mother,2,2,0,no,no,yes,yes,yes,yes,5,3,3,1,3,4,4,15,15,15
F,15,GT3,T,4,3,services,other,mother,1,1,0,no,no,yes,yes,yes,yes,4,5,5,1,3,1,4,16,17,18
M,16,GT3,T,3,3,services,other,father,1,3,0,no,yes,no,yes,yes,yes,5,3,3,1,1,5,2,16,18,18
F,16,GT3,T,4,3,health,other,mother,1,2,0,no,yes,no,yes,yes,yes,4,3,5,1,5,2,2,16,16,16
M,16,GT3,T,4,3,health,services,mother,1,4,0,no,no,no,yes,yes,yes,4,2,2,1,1,2,4,19,19,20
