sex,age,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,higher,internet,famrel,freetime,goout,freetime,goout,Dalc,Walc,health,absences
F,15,GT3,T,4,4,teacher,health,mother,1,2,0,0,1,1,0,1,1,3,3,3,3,3,1,2,2,0
M,17,GT3,T,2,1,other,other,mother,1,1,3,0,1,0,0,1,1,5,4,5,4,5,1,2,5,0
M,18,GT3,T,2,1,services,services,mother,1,1,1,0,0,0,0,0,1,3,2,5,2,5,2,5,5,4
M,18,LE3,T,1,3,at_home,services,mother,1,1,1,0,0,0,0,0,1,4,3,3,3,3,2,3,3,7
M,19,GT3,T,4,4,teacher,services,other,2,1,1,0,1,1,0,1,1,4,3,4,3,4,1,1,4,38
F,16,GT3,T,3,1,services,other,mother,1,4,0,1,1,1,0,1,1,4,3,3,3,3,1,2,5,4
M,16,GT3,T,4,4,services,services,mother,1,1,0,1,1,1,1,1,1,4,5,5,5,5,5,5,4,14
F,19,LE3,T,1,2,services,services,other,1,2,1,0,0,0,1,1,0,4,2,4,2,4,2,2,3,0
F,15,GT3,T,3,2,health,services,father,1,2,3,0,1,0,0,1,1,3,3,2,3,2,1,1,3,0
F,16,LE3,T,2,2,at_home,other,mother,1,2,0,0,1,0,0,1,0,4,3,4,3,4,1,2,2,4
F,17,LE3,T,2,2,services,services,father,1,4,0,0,0,1,1,1,1,3,4,1,4,1,1,1,2,0
M,18,LE3,T,2,1,at_home,other,mother,4,2,0,1,1,1,1,1,1,4,3,2,3,2,4,5,3,14
F,18,GT3,T,3,1,other,other,mother,1,2,1,0,0,0,1,1,1,5,3,3,3,3,1,1,4,16
F,18,GT3,T,4,4,health,health,father,1,2,1,1,1,0,1,1,1,2,4,4,4,4,1,1,4,15
F,15,GT3,T,3,2,services,other,mother,2,2,0,1,1,1,0,1,1,4,3,5,3,5,1,1,2,26
F,16,GT3,T,2,2,other,other,mother,1,2,0,0,1,1,0,1,1,5,1,5,1,5,1,1,4,0
M,16,LE3,T,1,1,other,other,mother,2,2,0,0,1,1,0,1,1,3,4,2,4,2,1,1,5,18
F,18,GT3,T,3,3,services,services,mother,1,2,0,0,0,0,1,1,1,5,3,4,3,4,1,1,4,0
F,17,GT3,T,1,1,other,services,mother,3,1,1,0,1,1,0,1,1,5,2,1,2,1,1,2,1,0
F,16,GT3,T,2,2,services,services,mother,2,4,0,0,1,1,1,1,1,5,3,5,3,5,1,1,5,6
F,19,GT3,T,1,1,at_home,health,other,1,3,2,0,0,0,0,1,1,4,1,2,1,2,1,1,3,14
F,15,LE3,A,3,4,other,other,mother,1,2,0,1,0,0,1,1,1,5,3,2,3,2,1,1,1,0
M,16,GT3,T,1,2,services,services,mother,1,1,0,0,1,1,1,1,1,3,3,3,3,3,1,2,3,2
F,16,GT3,T,2,3,services,services,mother,1,2,0,0,0,0,0,1,1,4,3,3,3,3,1,1,2,10
F,16,GT3,T,3,3,other,other,mother,3,2,0,1,1,0,1,1,0,5,3,2,3,2,1,1,4,4
F,17,LE3,T,2,2,services,services,mother,1,3,0,0,1,1,1,1,1,3,3,2,3,2,2,2,3,3
M,17,LE3,T,4,4,teacher,other,mother,1,2,0,0,1,1,1,1,1,4,4,4,4,4,1,3,5,0
F,15,GT3,T,1,2,at_home,other,mother,1,2,0,0,1,1,0,1,1,4,3,2,3,2,1,1,5,2
F,16,GT3,T,2,3,other,other,mother,1,2,0,1,1,1,1,1,0,4,4,3,4,3,1,3,4,6
F,16,LE3,T,4,4,teacher,teacher,mother,1,2,0,0,1,1,0,1,1,4,5,2,5,2,1,2,3,0
F,17,GT3,T,2,2,at_home,at_home,mother,1,3,0,0,1,1,1,1,1,4,3,3,3,3,1,1,4,4
F,15,LE3,T,4,2,health,other,mother,1,2,0,0,1,1,0,1,1,4,3,3,3,3,1,1,5,2
F,18,GT3,T,4,4,teacher,other,mother,2,2,0,0,0,1,1,1,1,4,3,4,3,4,2,2,4,8
F,18,GT3,T,2,3,at_home,services,father,2,1,0,0,1,1,0,1,1,5,2,3,2,3,1,2,4,0
M,17,LE3,T,2,3,services,services,father,1,2,0,0,1,1,0,1,1,5,3,3,3,3,1,3,3,2
M,16,GT3,T,3,3,services,other,mother,1,2,0,0,0,1,1,1,1,4,2,3,2,3,1,2,3,2
F,15,LE3,T,4,3,services,services,father,1,2,0,1,0,0,1,1,1,4,4,4,4,4,2,4,2,0
F,16,GT3,T,2,2,other,other,mother,1,4,0,0,0,1,0,1,1,5,2,3,2,3,1,3,3,0
M,16,LE3,T,3,3,teacher,other,father,3,1,0,0,1,1,1,1,1,3,3,4,3,4,3,5,3,8
M,17,GT3,T,3,3,health,other,mother,1,1,0,0,1,1,0,1,1,4,4,3,4,3,1,3,5,4
F,18,GT3,T,1,1,other,other,mother,2,2,0,1,0,0,1,1,1,5,4,4,4,4,1,1,4,4
M,15,GT3,T,2,3,other,services,father,1,1,0,1,1,1,1,1,1,3,2,2,2,2,1,3,3,2
M,16,GT3,T,3,2,services,services,mother,2,1,1,0,1,0,1,0,0,4,5,2,5,2,1,1,2,16
F,16,GT3,T,1,1,at_home,other,mother,2,1,0,0,1,1,0,1,0,4,3,2,3,2,1,4,5,6
F,17,GT3,T,3,1,services,services,father,1,3,0,0,1,0,0,1,1,3,4,3,4,3,2,3,5,1
M,16,GT3,T,0,2,other,other,mother,1,1,0,0,0,1,0,1,1,4,3,2,3,2,2,4,5,0
M,15,GT3,T,4,4,services,other,mother,1,1,0,0,1,0,1,1,1,5,3,3,3,3,1,1,5,4
M,16,LE3,T,4,3,services,other,mother,1,2,0,0,1,1,1,1,1,5,4,2,4,2,1,2,5,10
F,17,LE3,T,3,2,other,other,mother,2,2,0,0,0,1,0,1,1,4,4,4,4,4,1,3,1,2
M,15,GT3,T,4,4,other,teacher,father,2,2,0,0,1,0,1,1,0,4,4,3,4,3,1,1,2,2
F,17,LE3,T,4,4,at_home,at_home,mother,1,2,0,0,1,1,1,1,1,2,3,4,3,4,1,1,1,0
F,17,GT3,T,2,4,at_home,other,father,1,3,0,0,1,0,0,1,1,4,4,3,4,3,1,1,5,7
M,15,GT3,T,4,2,health,services,mother,1,1,0,0,0,1,0,1,1,2,2,4,2,4,2,4,1,4
