sex,age,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,higher,internet,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2
F,18,GT3,A,4,4,at_home,teacher,mother,2,2,0,1,0,0,0,1,0,4,3,4,1,1,3,6,5,6
F,17,GT3,T,1,1,at_home,other,father,1,2,0,0,1,0,0,1,1,5,3,3,1,1,3,4,5,5
F,15,LE3,T,1,1,at_home,other,mother,1,2,3,1,0,1,0,1,1,4,3,2,2,3,3,10,7,8
F,15,GT3,T,4,2,health,services,mother,1,3,0,0,1,1,1,1,1,3,2,2,1,1,5,2,15,14
F,16,GT3,T,3,3,other,other,father,1,2,0,0,1,1,0,1,0,4,3,2,1,2,5,4,6,10
M,16,LE3,T,4,3,services,other,mother,1,2,0,0,1,1,1,1,1,5,4,2,1,2,5,10,15,15
M,16,LE3,T,2,2,other,other,mother,1,2,0,0,0,0,0,1,1,4,4,4,1,1,3,0,12,12
F,17,GT3,A,4,4,other,teacher,mother,2,2,0,1,1,0,0,1,0,4,1,4,1,1,1,6,6,5
M,15,LE3,A,3,2,services,other,mother,1,2,0,0,1,1,0,1,1,4,2,2,1,1,1,0,16,18
M,15,GT3,T,3,4,other,other,mother,1,2,0,0,1,1,1,1,1,5,5,1,1,1,5,0,14,15
F,15,GT3,T,4,4,teacher,health,mother,1,2,0,0,1,1,0,1,1,3,3,3,1,2,2,0,10,8
F,15,GT3,T,2,1,services,other,father,3,3,0,0,1,0,1,1,1,5,2,2,1,1,4,4,10,12
M,15,LE3,T,4,4,health,services,father,1,1,0,0,1,1,1,1,1,4,3,3,1,3,5,2,14,14
M,15,GT3,T,4,3,teacher,other,mother,2,2,0,0,1,1,0,1,1,5,4,3,1,2,3,2,10,10
M,15,GT3,A,2,2,other,other,other,1,3,0,0,1,0,0,1,1,4,5,2,1,1,3,0,14,16
F,16,GT3,T,4,4,health,other,mother,1,1,0,0,1,0,0,1,1,4,4,4,1,2,2,4,14,14
F,16,GT3,T,4,4,services,services,mother,1,3,0,0,1,1,1,1,1,3,2,3,1,2,2,6,13,14
F,16,GT3,T,3,3,other,other,mother,3,2,0,1,1,0,1,1,0,5,3,2,1,1,4,4,8,10
M,17,GT3,T,3,2,services,services,mother,1,1,3,0,1,0,1,1,1,5,5,5,2,4,5,16,6,5
M,16,LE3,T,4,3,health,other,father,1,1,0,0,0,1,1,1,1,3,1,3,1,3,5,4,8,10
M,15,GT3,T,4,3,teacher,other,mother,1,2,0,0,0,0,0,1,1,4,4,1,1,1,1,0,13,14
M,15,GT3,T,4,4,health,health,father,1,1,0,0,1,1,0,1,1,5,4,2,1,1,5,0,12,15
M,16,LE3,T,4,2,teacher,other,mother,1,2,0,0,0,0,1,1,1,4,5,1,1,3,5,2,15,15
M,16,LE3,T,2,2,other,other,mother,2,2,0,0,1,0,1,1,1,5,4,4,2,4,5,0,13,13
F,15,GT3,T,2,4,services,health,mother,1,3,0,1,1,1,1,1,1,4,3,2,1,1,5,2,10,9
F,16,GT3,T,2,2,services,services,mother,1,1,2,0,1,1,0,1,1,1,2,2,1,3,5,14,6,9
M,15,GT3,T,2,2,other,other,mother,1,1,0,0,1,1,0,1,1,4,2,2,1,2,5,2,12,12
M,15,GT3,T,4,2,health,services,mother,1,1,0,0,0,1,0,1,1,2,2,4,2,4,1,4,15,16
M,16,LE3,A,3,4,services,other,mother,1,2,0,1,1,0,1,1,1,5,3,3,1,1,5,4,11,11
