sex,age,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,higher,internet,famrel,freetime,goout,Dalc,Walc,health,absences
M,16,GT3,T,4,4,services,services,mother,1,1,0,yes,yes,yes,yes,yes,yes,4,5,5,5,5,4,14
F,16,LE3,T,1,2,other,services,father,1,2,0,yes,no,no,yes,yes,yes,4,4,3,1,1,1,4
F,15,GT3,T,1,1,other,other,mother,1,2,2,yes,yes,no,no,yes,yes,3,3,4,2,4,5,2
M,22,GT3,T,3,1,services,services,mother,1,1,3,no,no,no,no,no,yes,5,4,5,5,5,1,16
F,18,GT3,T,2,1,other,other,other,2,3,0,no,yes,yes,no,yes,yes,4,4,4,1,1,3,0
M,17,GT3,T,1,3,other,other,father,3,2,1,no,yes,no,yes,yes,yes,5,2,4,1,4,5,20
M,19,GT3,T,3,2,services,at_home,mother,1,1,3,no,yes,no,no,no,yes,4,5,4,1,1,4,0
F,16,GT3,T,3,1,services,other,mother,1,4,0,yes,yes,yes,no,yes,yes,4,3,3,1,2,5,4
F,15,GT3,T,1,1,at_home,other,mother,3,1,0,no,yes,no,yes,yes,yes,4,3,3,1,2,4,0
F,16,GT3,T,4,3,other,at_home,mother,1,3,0,yes,yes,yes,no,yes,yes,5,3,5,1,1,3,0
F,17,GT3,T,1,1,other,services,mother,3,1,1,no,yes,yes,no,yes,yes,5,2,1,1,2,1,0
M,16,GT3,T,4,3,teacher,other,mother,1,2,0,no,yes,yes,yes,yes,yes,3,4,3,2,3,3,10
F,16,GT3,T,2,2,services,services,mother,1,1,2,no,yes,yes,no,yes,yes,1,2,2,1,3,5,14
F,17,GT3,A,2,2,at_home,at_home,father,1,2,1,no,yes,no,no,yes,yes,3,3,1,1,2,4,0
M,17,GT3,T,3,3,other,other,father,1,2,0,no,no,no,yes,yes,yes,4,3,4,1,4,4,4
M,18,GT3,T,4,3,teacher,other,mother,1,3,0,no,yes,yes,no,yes,yes,5,4,5,2,3,5,0
F,15,GT3,T,4,4,teacher,health,mother,1,2,0,no,yes,yes,no,yes,yes,3,3,3,1,2,2,0
F,18,GT3,T,3,3,services,services,father,1,2,0,no,yes,no,no,yes,no,5,3,4,1,1,5,0
F,17,GT3,T,4,3,other,other,mother,1,2,2,no,no,yes,no,yes,yes,3,4,5,2,4,1,22
F,18,GT3,T,2,1,other,other,mother,2,2,0,no,yes,no,no,no,yes,4,3,5,1,2,3,0
F,17,GT3,T,2,1,at_home,services,mother,2,2,0,no,yes,no,yes,yes,yes,4,2,5,1,2,5,2
M,18,LE3,T,1,1,other,other,mother,1,1,3,no,no,no,no,no,yes,2,3,5,2,5,4,0
M,16,GT3,T,2,1,other,other,mother,2,1,0,no,no,no,yes,yes,no,3,3,2,1,3,3,0
F,18,GT3,T,4,4,health,health,father,1,2,1,yes,yes,no,yes,yes,yes,2,4,4,1,1,4,15
M,16,GT3,T,4,2,teacher,services,mother,1,1,0,no,yes,no,yes,yes,yes,4,3,3,3,4,3,10
F,15,GT3,T,4,4,services,services,father,2,2,2,no,no,yes,no,yes,yes,4,4,4,2,3,5,6
F,18,LE3,T,2,2,other,other,other,1,2,0,no,no,no,yes,yes,yes,4,3,3,1,1,2,0
M,16,LE3,T,1,2,other,other,mother,2,1,1,no,no,no,yes,yes,no,4,4,4,2,4,5,0
F,18,GT3,T,2,2,at_home,services,mother,1,3,0,no,yes,yes,yes,yes,yes,4,3,3,1,1,3,0
F,18,GT3,A,3,2,other,services,mother,2,2,0,no,no,no,no,no,yes,4,1,1,1,1,5,75
